
swprv                                      Stopped
SysMain                                    Running
SystemEventsBroker                         Running
TabletInputService                         Running
TapiSrv                                    Running
TeamViewer                                 Running
TermService                                Running
Themes                                     Running
TieringEngineService                       Stopped
TimeBrokerSvc                              Running
TokenBroker                                Running
TrkWks                                     Running
TroubleshootingSvc                         Stopped
TrustedInstaller                           Stopped
tzautoupdate                               Stopped
UDCCLauncherService                        Running
UdkUserSvc_1dc8527                         Stopped
UevAgentService                            Stopped
uhssvc                                     Stopped
UltraViewService                           Running
UmRdpService                               Running
UnistoreSvc_1dc8527                        Running
upnphost                                   Stopped
UserDataSvc_1dc8527                        Running
UserManager                                Running
UsoSvc                                     Running
VacSvc                                     Stopped
VaultSvc                                   Running
vds                                        Stopped
VMAuthdService                             Running
vmcompute                                  Running
vmicguestinterface                         Stopped
vmicheartbeat                              Stopped
vmickvpexchange                            Stopped
vmicrdv                                    Stopped
vmicshutdown                               Stopped
vmictimesync                               Stopped
vmicvmsession                              Stopped
vmicvss                                    Stopped
vmms                                       Running
VMnetDHCP                                  Running
VMUSBArbService                            Running
VMware NAT Service                         Running
VmwareAutostartService                     Stopped
VSS                                        Stopped
W32Time                                    Stopped
WaaSMedicSvc                               Stopped
WalletService                              Stopped
WarpJITSvc                                 Stopped
wbengine                                   Stopped
WbioSrvc                                   Stopped
Wcmsvc                                     Running
wcncsvc                                    Stopped
WdiServiceHost                             Running
WdiSystemHost                              Running
WdNisSvc                                   Running
WebClient                                  Stopped
Wecsvc                                     Stopped
WEPHOSTSVC                                 Stopped
wercplsupport                              Stopped
WerSvc                                     Stopped
WFDSConMgrSvc                              Stopped
WiaRpc                                     Stopped
WinDefend                                  Running
WinHttpAutoProxySvc                        Running
Winmgmt                                    Running
WinRM                                      Stopped
wisvc                                      Stopped
WlanSvc                                    Running
wlidsvc                                    Stopped
wlpasvc                                    Stopped
WManSvc                                    Stopped
wmiApSrv                                   Stopped
WMIRegistrationService                     Running
WMPNetworkSvc                              Stopped
workfolderssvc                             Stopped
WpcMonSvc                                  Stopped
WPDBusEnum                                 Stopped
WpnService                                 Running
WpnUserService_1dc8527                     Running
wscsvc                                     Running
WSearch                                    Running
WslInstaller                               Stopped
WSLService                                 Running
wuauserv                                   Running
WwanSvc                                    Stopped
XblAuthManager                             Stopped
XblGameSave                                Stopped
XboxGipSvc                                 Stopped
XboxNetApiSvc                              Stopped
ZeroTierOneService                         Running


